name,movie_id
名侦探柯南：零的执行人,27110363
搜索,6799191
卡拉什尼科夫,34947678
杀生,4176542
哥斯拉2：怪兽之王,25890017
立春,3036997
沉默的证人,26816090
冒牌天神,1297018
哥斯拉,2063914
佩小姐的奇幻城堡,7051830
倩女幽魂3：道道道,1298040
星球大战7：原力觉醒,20326665
投名状,1947089
我脑中的橡皮擦,1308804
伸冤人,3012013
名侦探柯南：瞳孔中的暗杀者,2357701
赌神2,1292506
逆时营救,26667056
太空旅客,3434070
一百零八,30214261
东邪西毒：终极版,3726072
百元之恋,25761178
成为简·奥斯汀,1920805
汉尼拔,1301746
破坏之王,1299745
有一个地方只有我们知道,25858759
神奇四侠,1309103
101次求婚,5319835
前任2：备胎反击战,25881786
死寂,1895120
博物馆奇妙夜2,2257732
名侦探柯南：迷宫的十字路口,2357707
旺角卡门,1304624
陪安东尼度过漫长岁月,26269510
警察故事2013,20266753
师父,25919910
21克拉,26691361
一次别离,5964718
黄飞鸿,1298443
戏梦巴黎,1291856
夏有乔木 雅望天堂,25843976
奇门遁甲,33218378
万物生长,25872931
霹雳娇娃,26612258
犯罪现场,26235346
谍影重重4,3001077
角斗士,1293530
门徒,1890784
安德的游戏,5323957
阿肯色,30355043
浪潮,2297265
月球,3073124
A计划,1297909
变身特工,27000084
落水狗,1299603
如晴天，似雨天,25738406
集结号,1907464
威洛比家的孩子们,27062059
末路狂花,1291992
名侦探柯南：银翼的魔术师,2357711
珍珠港,1302987
功夫之王,1939414
堕落天使,1298112
王牌保镖,22266126
林中小屋,3143676
云图,3530403
传染病,4301043
宫锁沉香,20378811
海底总动员2：多莉去哪儿,11524967
狂暴巨兽,26430636
古墓丽影：源起之战,3445906
犬之岛,26640371
胖子行动队,27149818
黑暗面,6536180
你丫闭嘴！,1303815
地球最后的夜晚,26633257
整容日记,11614603
追随,1397546
警察故事,1400868
加菲猫,1308776
无极,1419969
公主日记2,1308753
忍者神龟2：破影而出,25955779
前任攻略,24751754
桃姐,5977835
河东狮吼,1305265
小羊肖恩2：末日农场,26628382
撞车,1388216
名侦探柯南：第十四个目标,2357699
刺猬索尼克,25905044
乡间小屋,27180906
精灵旅社3：疯狂假期,26630714
小美人鱼,1293120
大坏狐狸的故事,27042405
英国病人,1291853
憨豆特工3,27073234
绝地逃亡,24529353
兵临城下,1301726
小飞象,25924056
降龙大师之捉妖榜,35026126
黑社会,1309220
敢死队,3279080
叫我第一名,4798888
与神同行2：因与缘,27003543
分歧者：异类觉醒,6424814
毒战,10344754
勇敢传说,3036473
末日崩塌,25786077
窃听风云3,10726941
异形2,1293792
如果·爱,1418070
电话谋杀案,1301231
大开眼戒,1300275
狮子王2：辛巴的荣耀,1301757
濑户内海,26362351
木乃伊归来,1298586
理智与情感,1299193
古惑仔之人在江湖,1433736
茶馆,1461403
不一样的天空,1301617
一夜惊喜,16475702
狙击电话亭,1303246
瘦身男女,1303203
黑社会2：以和为贵,1484760
木乃伊3,1997679
春宵苦短，少女前进吧！,26935251
玩命快递,1303139
三峡好人,1872133
艋舺,3737102
古惑仔2之猛龙过江,1473074
之后,30209802
奇怪的她,24879820
大灌篮,1950525
海洋之歌,11584019
精灵鼠小弟,1295242
寄生兽,25774050
101忠狗,1298204
面纱,1441238
星球大战8：最后的绝地武士,22265634
奔跑吧！兄弟,26274910
我的父亲母亲,1294007
保持通话,2359431
愤怒的小鸟2,26863060
孔雀,1309004
金枝玉叶,1303376
雪人奇缘,26929010
星运里的错,22733673
一个人的武林,24695277
孤胆特工,4249355
全城热恋,4066206
星球大战前传1：幽灵的威胁,1294362
九条命,26314816
多力特的奇幻冒险,27000981
蓝白红三部曲之白,1292049
我和厄尔以及将死的女孩,24325923
哆啦A梦：大雄的月球探险记,30249161
麦兜·我和我妈妈,25884416
海绵宝宝历险记,1309156
致所有我曾爱过的男孩,27064658
蜀山传,1308338
群鸟,1310175
睡美人,1297110
我不是王毛,25757187
赤裸特工,1307762
囚徒,3592859
人间·喜剧,27179414
盗钥匙的方法,6880497
铁线虫入侵,6839145
极乐空间,4116481
恋空,3003830
天才眼镜狗,3101548
现代启示录,1292260
给桃子的信,6010171
李雷和韩梅梅,26289138
深夜食堂电影版,25958787
没完没了,1296253
歌舞青春3：毕业季,2215609
惊情四百年,1293124
97古惑仔战无不胜,1293265
给爸爸的信,1299250
屏住呼吸,26704620
夺魂索,1301230
消失的子弹,6991110
赛德克·巴莱(下)：彩虹桥,6393127
安妮·霍尔,1296987
熊出没之雪岭熊风,26220731
大魔术师,4913200
木偶奇遇记,1292757
憨豆先生的大灾难,1294948
伊甸湖,3011997
我愿意,6782006
机械师2：复活,25825412
画壁,5194471
